iter	MAE	RMSE
1320	133268.103	294635.0231
1325	133226.7498	294492.7792
1330	133147.565	294246.9084
1335	133109.6579	294118.9049
1340	133049.1547	293911.9261
1345	132989.0142	293690.5149
1350	132948.7341	293545.5591
1355	132929.1306	293464.0896
1360	132899.0982	293366.1073
1365	132816.1348	293202.1541
1370	132754.105	293058.6197
1375	132714.3993	292923.4827
1380	132672.3962	292791.1115
1385	132626.3424	292648.5806
1390	132582.6162	292514.7169
1395	132544.9056	292388.977
1400	132507.9809	292273.1877
1405	132464.2547	292148.388
1410	132355.7026	291894.7194
1415	132286.7957	291741.9451
1420	132228.5898	291604.5674
1425	132195.5496	291474.9685
1430	132161.3304	291357.7552
1435	132135.2277	291278.1087
1440	132106.1173	291177.649
1445	132052.9899	291031.6187
1450	132012.5889	290908.4247
1455	131994.6329	290846.0658
1460	131960.7462	290724.3741
1465	131924.804	290586.8835
1470	131900.6057	290507.5711
1475	131857.5295	290385.724
1480	131788.0029	290135.0618
1485	131710.511	289845.855
1490	131686.4941	289776.8957
1495	131630.495	289617.3132
1500	131582.7937	289437.753
1505	131536.5887	289303.1707
1510	131505.3622	289180.7338
1515	131452.9603	288975.9493
1520	131416.8821	288855.0061
1525	131377.4031	288744.6607
1530	131322.0539	288546.2678
1535	131261.1879	288368.3215
1540	131197.4501	288204.6184
1545	131162.6868	288106.9515
1550	131139.6826	288030.7805
1555	131100.6268	287898.7333
1560	131056.81	287789.9488
1565	131028.3192	287702.415
1570	130996.2463	287608.9033
1575	130965.6697	287478.1509
1580	130923.0922	287357.046
1585	130887.3465	287241.394
1590	130849.9533	287144.3101
1595	130804.7156	287000.1897
1600	130750.8628	286875.7894
1605	130717.8679	286784.0806
1610	130655.0219	286616.0858
1615	130625.4882	286513.7979
1620	130597.8287	286443.4555
1625	130555.9011	286291.246
1630	130533.2445	286212.5707
1635	130494.0376	286096.636
1640	130472.3483	286023.4898
1645	130443.6913	285911.5527
1650	130411.2707	285776.5299
1655	130387.8433	285703.3294
1660	130335.8193	285528.5792
1665	130301.9326	285445.8904
1670	130241.505	285265.3851
1675	130189.8437	285130.3342
1680	130127.7988	284968.4555
1685	130095.7107	284877.1758
1690	130066.4944	284735.7206
1695	130041.3137	284652.0499
1700	129971.3942	284438.1545
1705	129939.2608	284287.9097
1710	129886.7229	284125.1885
1715	129833.2479	284007.7879
1720	129801.704	283886.0261
1725	129773.3039	283800.6668
1730	129745.1909	283704.8356
1735	129691.4439	283566.3587
1740	129663.86	283472.5868
1745	129632.316	283363.0259
1750	129588.6806	283200.5288
1755	129531.306	282998.1092
1760	129472.1177	282833.0069
1765	129457.1242	282771.0389
1770	129435.2686	282693.7525
1775	129380.8263	282530.9406
1780	129354.1644	282416.9599
1785	129298.2559	282267.2815
1790	129271.2917	282199.124
1795	129246.7005	282098.3385
1800	129208.2946	281962.9932
1805	129120.7666	281710.6875
1810	129085.2174	281589.7334
1815	129009.1462	281385.3243
1820	128981.6379	281314.4742
1825	128957.9233	281249.5654
1830	128934.3447	281156.3737
1835	128901.4103	281046.6148
1840	128847.4667	280914.3453
1845	128823.1626	280824.4426
1850	128767.9495	280675.9478
1855	128742.5571	280588.7365
1860	128712.1619	280460.2209
1865	128687.2079	280357.5808
1870	128650.4193	280228.0402
1875	128606.285	280122.2315
1880	128585.9712	280053.4953
1885	128562.3019	279961.2924
1890	128518.3641	279812.4245
1895	128489.8734	279719.4481
1900	128470.8291	279658.6887
1905	128408.2552	279517.3001
1910	128360.4632	279390.0501
1915	128333.0002	279300.0824
1920	128308.9682	279222.6441
1925	128288.2765	279154.3819
1930	128236.9931	279012.5105
1935	128215.3643	278942.4781
1940	128196.577	278862.994
1945	128163.3554	278757.3922
1950	128129.4838	278647.4276
1955	128097.7585	278541.3031
1960	128065.5798	278417.9333
1965	128041.578	278338.1855
1970	127982.6769	278176.898
1975	127950.7249	278040.9548
1980	127922.8085	277941.4271
1985	127859.2521	277768.9972
1990	127829.5673	277659.9255
1995	127806.2305	277561.6744
1999	127769.5175	277476.4258
